Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
nissan ariya e-4orce 63kwh (awd) (2021),"5,9 sec.",200 km/h,"9,68€ @ 7,4kW","2,84 €",~48 000 €,65 kWh , 63 kWh,279 ch , 205kW , 560 Nm,1900kg, ?, ?,340,"185,3 Wh/km",480-330 km,131-191 Wh/km,290-230 km,217-274 Wh/km
mercedes eqs amg 53 4matic+ (awd) (2021),"3,4 sec.",250 km/h,"14,76€ @ 11kW","2,11 €",175 000 €,120 kWh ," 107,8 kWh",761ch , 560 kW , 1020 Nm,2655kg,"0,20!","0,495!",580,"185,8 Wh/km",790-540 km,136-200 Wh/km,535-415 km,201-260 Wh/km
porsche taycan turbo (awd) (2020),"3,2 sec.",260 km/h,"12,35€ @ 11kW","2,74 €",> 155 552 €,"93,4 kWh "," 83,7 kWh",625-680ch , 450-500kW , 850Nm,2380kg," 0,25 ","0,57",450,186 Wh/km,545-380 km,154-220 Wh/km,360-285 km,233-294 Wh/km
nissan ariya e-4orce 87kwh (awd) (2021),"5,7 sec.",200 km/h,"12,84€ @ 22kW","2,79 €",~54 500 €,90 kWh , 87 kWh,306 ch , 225kW , 600 Nm,2300kg, ?, ?,460,"189,1 Wh/km",610-420 km,143-207 Wh/km,380-300 km,229-290 Wh/km
nissan e-nv200 evalia (fwd) (2018),14 sec.,123 km/h,"5,84€ @ 6,6kW","2,92 €",35 900 - 37 800 €,40 kWh , 38 kWh,109 ch , 80 kW , 254 Nm,1689kg, ? , ?,200,190 Wh/km,285-195 km,133-195 Wh/km,165-130 km,230-292 Wh/km
audi e-tron 50 quattro suv (awd) (2020),"6,8 sec.",190 km/h,"9,55€ @ 11kW","2,82 €",72 300 - 96 100 €,71 kWh ," 64,7 kWh",313 ch , 230 kW , 540 Nm,2445kg,"0,25","0,60",339,191 Wh/km,405-285 km,160-227 Wh/km,255-205 km,254-316 Wh/km
peugeot e-boxer 70kwh (fwd) (2021),20 sec.,90 km/h,"10€@7,4kW / 9,59€@22kW","2,94€ / 2,82€",Crédit bail,70 kWh , 65 kWh,122 ch , 90 kW , 260 Nm,2715kg, ? , ?,340,"191,2 Wh/km",,,,
audi e-tron sportback 55 quattro suv (awd)(2020),"5,7 sec.",200 km/h,"12,76€ @ 11kW","2,82 €",82 000 €,95 kWh ," 86,5 kWh",408 ch , 300 kW , 664 Nm,2595kg,"0,25","0,60",452,"191,4 Wh/km",530-375 km,163-231 Wh/km,345-275 km,251-315 Wh/km
Mercedes-Benz EQC,"5,1 sec.",180 km/h,"12,3€ @ 7,4kW","2,95 €",79 250 - 92 450 €,85 kWh , 80 kWh,408 ch , 300 kW , 760 Nm,2495kg,"0,28","0,72",417,"191,8 Wh/km",530-370 km,151-216 Wh/km,340-270 km,235-296 Wh/km
toyota proace verso l 50 (fwd) (2021),"12,1 sec.",130 km/h,"6,92€ @ 7,4kW","3,00 €",49 820 €,50 kWh , 45 kWh,136 ch , 100 kW , 260 Nm,1989kg, ?, ?,230,"195,6 Wh/km",270-195 km,167-231 Wh/km,160-130 km,281-346 Wh/km
